PhraseId,Sentiment
156061,4
156062,2
156063,2
156064,2
156065,2
156066,2
156067,2
156068,2
156069,2
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,2
156077,3
156078,1
156079,2
156080,2
156081,2
156082,2
156083,2
156084,2
156085,2
156086,2
156087,2
156088,2
156089,2
156090,2
156091,2
156092,1
156093,1
156094,3
156095,2
156096,3
156097,1
156098,1
156099,3
156100,1
156101,2
156102,1
156103,1
156104,1
156105,1
156106,2
156107,2
156108,2
156109,2
156110,2
156111,1
156112,2
156113,1
156114,3
156115,3
156116,3
156117,2
156118,3
156119,2
156120,3
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,2
156129,2
156130,2
156131,2
156132,2
156133,2
156134,2
156135,2
156136,2
156137,2
156138,2
156139,2
156140,2
156141,2
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,1
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,1
156167,2
156168,1
156169,1
156170,2
156171,1
156172,2
156173,0
156174,2
156175,2
156176,2
156177,2
156178,1
156179,2
156180,1
156181,1
156182,2
156183,1
156184,2
156185,1
156186,2
156187,2
156188,2
156189,1
156190,2
156191,2
156192,1
156193,1
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,1
156202,2
156203,1
156204,2
156205,1
156206,2
156207,1
156208,2
156209,1
156210,1
156211,2
156212,2
156213,2
156214,2
156215,2
156216,1
156217,1
156218,2
156219,1
156220,2
156221,1
156222,1
156223,1
156224,1
156225,1
156226,1
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,2
156237,2
156238,3
156239,3
156240,4
156241,2
156242,2
156243,2
156244,2
156245,2
156246,2
156247,2
156248,2
156249,2
156250,2
156251,2
156252,3
156253,3
156254,3
156255,3
156256,2
156257,2
156258,2
156259,2
156260,2
156261,2
156262,2
156263,2
156264,2
156265,2
156266,2
156267,2
156268,2
156269,2
156270,2
156271,2
156272,3
156273,2
156274,3
156275,3
156276,3
156277,3
156278,2
156279,2
156280,2
156281,2
156282,2
156283,2
156284,2
156285,2
156286,3
156287,3
156288,3
156289,3
156290,2
156291,3
156292,2
156293,2
156294,2
